"Lnr" "Unfall" "Geschlecht" "Beruf" "Alter" "Fahrpraxis"
105 0 "Frau" "Physiker" 49 31
106 0 "Frau" "Physiker" 55 36
107 0 "Mann" "Physiker" 54 36
108 0 "Frau" "Physiker" 57 38
109 0 "Frau" "Physiker" 52 34
110 0 "Frau" "Physiker" 30 11
111 0 "Mann" "Physiker" 64 45
112 0 "Frau" "Physiker" 56 37
113 0 "Mann" "Physiker" 33 14
114 0 "Mann" "Physiker" 36 17
115 0 "Frau" "Physiker" 34 14
116 0 "Mann" "Physiker" 34 15
117 0 "Frau" "Physiker" 57 38
118 0 "Mann" "Physiker" 42 23
119 0 "Frau" "Physiker" 40 22
120 0 "Mann" "Physiker" 48 28
121 0 "Frau" "Physiker" 39 20
122 0 "Frau" "Physiker" 48 29
123 0 "Mann" "Physiker" 61 43
124 0 "Frau" "Physiker" 54 36
125 0 "Frau" "Physiker" 42 23
126 0 "Mann" "Physiker" 54 36
127 0 "Mann" "Physiker" 58 38
128 0 "Frau" "Physiker" 51 33
129 0 "Mann" "Physiker" 45 26
130 0 "Mann" "Physiker" 49 31
131 0 "Frau" "Physiker" 49 30
132 0 "Frau" "Physiker" 46 27
133 0 "Frau" "Physiker" 52 33
134 0 "Frau" "Physiker" 42 23
135 0 "Mann" "Physiker" 50 30
136 0 "Frau" "Physiker" 43 25
137 0 "Frau" "Physiker" 40 22
138 0 "Frau" "Physiker" 30 12
139 0 "Frau" "Physiker" 52 33
140 0 "Frau" "Physiker" 52 33
141 0 "Frau" "Physiker" 60 41
142 0 "Frau" "Physiker" 34 15
143 0 "Mann" "Physiker" 48 29
144 0 "Frau" "Physiker" 36 16
145 0 "Frau" "Physiker" 46 26
146 0 "Frau" "Physiker" 59 40
147 0 "Mann" "Physiker" 55 36
148 0 "Frau" "Physiker" 44 25
149 0 "Frau" "Physiker" 51 32
150 0 "Frau" "Physiker" 44 25
151 0 "Frau" "Physiker" 37 17
152 0 "Frau" "Physiker" 46 27
153 0 "Frau" "Physiker" 50 31
154 1 "Frau" "Physiker" 35 15
155 0 "Mann" "Physiker" 51 33
156 0 "Frau" "Physiker" 51 32
157 0 "Mann" "Physiker" 56 37
158 0 "Mann" "Physiker" 42 23
159 0 "Frau" "Physiker" 52 33
160 0 "Frau" "Physiker" 46 26
161 0 "Frau" "Physiker" 48 30
162 0 "Mann" "Physiker" 54 36
163 0 "Mann" "Physiker" 54 35
164 0 "Mann" "Physiker" 57 38
165 0 "Frau" "Physiker" 55 36
166 0 "Frau" "Physiker" 43 24
167 0 "Mann" "Physiker" 39 20
168 0 "Mann" "Physiker" 60 42
169 0 "Frau" "Physiker" 44 24
170 0 "Frau" "Physiker" 53 34
171 0 "Frau" "Physiker" 38 20
172 0 "Frau" "Physiker" 37 18
173 0 "Mann" "Physiker" 46 26
174 0 "Frau" "Physiker" 43 24
175 0 "Frau" "Physiker" 51 32
176 0 "Frau" "Physiker" 46 26
177 0 "Frau" "Physiker" 41 23
178 0 "Mann" "Physiker" 56 36
179 0 "Mann" "Physiker" 62 44
180 0 "Mann" "Physiker" 54 35
181 0 "Frau" "Physiker" 47 27
182 0 "Mann" "Physiker" 45 25
183 0 "Mann" "Physiker" 50 32
184 0 "Mann" "Physiker" 40 21
185 0 "Frau" "Physiker" 60 41
186 0 "Frau" "Physiker" 40 20
187 0 "Mann" "Physiker" 37 17
188 0 "Frau" "Physiker" 46 27
189 0 "Mann" "Physiker" 57 38
190 0 "Frau" "Physiker" 37 18
191 0 "Mann" "Physiker" 39 20
192 0 "Mann" "Physiker" 43 25
193 0 "Mann" "Physiker" 49 30
194 0 "Mann" "Physiker" 54 34
195 0 "Frau" "Physiker" 56 36
196 0 "Mann" "Physiker" 28 9
197 0 "Frau" "Physiker" 49 31
198 0 "Mann" "Physiker" 43 24
199 0 "Frau" "Physiker" 39 20
200 0 "Mann" "Physiker" 50 31
201 0 "Frau" "Physiker" 27 7
202 0 "Mann" "Physiker" 45 26
203 0 "Frau" "Physiker" 60 41
204 0 "Frau" "Physiker" 40 22
205 0 "Mann" "Physiker" 35 15
206 0 "Frau" "Physiker" 62 42
207 0 "Frau" "Physiker" 31 12
208 0 "Mann" "Physiker" 44 24
209 0 "Mann" "Physiker" 41 22
210 0 "Frau" "Physiker" 40 20
211 0 "Frau" "Physiker" 51 33
212 0 "Mann" "Physiker" 27 8
213 0 "Frau" "Physiker" 26 7
214 0 "Frau" "Physiker" 32 13
215 0 "Frau" "Physiker" 49 31
216 0 "Mann" "Physiker" 41 22
217 0 "Frau" "Physiker" 44 26
218 0 "Mann" "Physiker" 35 15
219 0 "Mann" "Physiker" 48 29
220 1 "Mann" "Physiker" 25 5
221 0 "Mann" "Physiker" 35 17
222 0 "Frau" "Physiker" 59 41
223 0 "Mann" "Physiker" 52 32
224 0 "Mann" "Physiker" 43 24
225 0 "Mann" "Physiker" 55 35
226 0 "Mann" "Physiker" 54 36
227 0 "Mann" "Physiker" 38 18
228 0 "Frau" "Physiker" 38 19
229 0 "Frau" "Physiker" 61 43
230 0 "Frau" "Physiker" 40 22
231 0 "Mann" "Physiker" 51 32
232 0 "Mann" "Physiker" 41 23
233 0 "Mann" "Physiker" 59 40
234 0 "Mann" "Physiker" 42 22
235 0 "Frau" "Physiker" 35 15
236 0 "Mann" "Physiker" 32 14
237 0 "Frau" "Physiker" 48 29
238 0 "Frau" "Physiker" 50 32
239 0 "Frau" "Physiker" 48 29
240 0 "Frau" "Physiker" 45 26
241 0 "Frau" "Physiker" 45 25
242 0 "Mann" "Physiker" 44 25
243 0 "Mann" "Physiker" 45 25
244 0 "Mann" "Physiker" 34 15
245 0 "Mann" "Physiker" 55 36
246 0 "Mann" "Physiker" 46 28
247 0 "Mann" "Physiker" 51 32
248 0 "Mann" "Physiker" 36 18
249 0 "Frau" "Physiker" 31 13
250 0 "Frau" "Physiker" 47 27
251 0 "Mann" "Physiker" 50 31
252 0 "Mann" "Physiker" 47 28
253 0 "Frau" "Physiker" 49 30
254 0 "Mann" "Physiker" 41 21
255 0 "Mann" "Physiker" 44 26
256 0 "Frau" "Physiker" 41 22
257 0 "Frau" "Physiker" 63 43
258 0 "Mann" "Physiker" 26 6
259 0 "Mann" "Physiker" 46 26
260 0 "Frau" "Physiker" 50 31
261 0 "Mann" "Physiker" 40 22
262 0 "Mann" "Physiker" 54 35
263 0 "Mann" "Physiker" 52 32
264 0 "Mann" "Physiker" 39 20
265 0 "Frau" "Physiker" 50 32
266 0 "Frau" "Physiker" 35 17
267 0 "Frau" "Physiker" 57 37
268 0 "Mann" "Physiker" 32 13
269 0 "Mann" "Physiker" 39 20
270 0 "Frau" "Physiker" 39 20
271 0 "Frau" "Physiker" 57 39
272 0 "Frau" "Physiker" 40 21
273 0 "Frau" "Physiker" 46 27
274 0 "Mann" "Physiker" 39 20
275 0 "Frau" "Physiker" 55 36
276 0 "Frau" "Physiker" 38 18
277 0 "Mann" "Physiker" 56 37
278 0 "Mann" "Physiker" 52 33
279 0 "Mann" "Physiker" 40 22
280 1 "Mann" "Physiker" 33 14
281 0 "Mann" "Physiker" 29 10
282 0 "Mann" "Physiker" 64 44
283 0 "Frau" "Physiker" 39 19
284 0 "Frau" "Physiker" 49 30
285 0 "Frau" "Physiker" 38 19
286 0 "Mann" "Physiker" 35 17
287 0 "Frau" "Physiker" 33 15
288 0 "Mann" "Physiker" 36 17
289 0 "Frau" "Physiker" 34 14
290 0 "Mann" "Physiker" 55 36
291 0 "Mann" "Physiker" 37 17
292 0 "Frau" "Physiker" 56 37
293 0 "Frau" "Physiker" 42 22
294 0 "Frau" "Physiker" 40 22
295 0 "Frau" "Physiker" 64 44
296 0 "Mann" "Physiker" 53 34
297 0 "Mann" "Physiker" 58 39
298 0 "Frau" "Physiker" 45 26
299 0 "Frau" "Physiker" 38 19
300 0 "Mann" "Physiker" 54 34
301 0 "Mann" "Physiker" 52 34
302 0 "Frau" "Physiker" 54 36
303 0 "Mann" "Physiker" 52 33
304 0 "Frau" "Physiker" 41 22
305 0 "Mann" "Physiker" 40 20
306 0 "Mann" "Physiker" 44 26
307 0 "Mann" "Physiker" 35 16
308 0 "Frau" "Physiker" 44 26
309 0 "Frau" "Physiker" 51 32
310 0 "Frau" "Physiker" 48 30
311 0 "Mann" "Physiker" 58 39
312 0 "Mann" "Physiker" 38 19
313 0 "Mann" "Physiker" 48 29
314 1 "Frau" "Physiker" 36 16
315 0 "Mann" "Physiker" 57 38
316 0 "Frau" "Physiker" 49 29
317 0 "Mann" "Physiker" 48 30
318 0 "Frau" "Physiker" 54 35
319 0 "Mann" "Physiker" 37 18
320 0 "Frau" "Physiker" 44 25
321 0 "Frau" "Physiker" 49 29
322 0 "Mann" "Physiker" 30 11
323 0 "Frau" "Physiker" 57 38
324 0 "Frau" "Physiker" 25 7
325 0 "Frau" "Physiker" 48 30
326 0 "Frau" "Physiker" 45 26
327 0 "Frau" "Physiker" 52 33
328 0 "Frau" "Physiker" 50 32
329 0 "Frau" "Physiker" 38 20
330 0 "Frau" "Physiker" 42 23
331 0 "Mann" "Physiker" 49 30
332 0 "Frau" "Physiker" 34 14
333 0 "Mann" "Physiker" 57 37
334 0 "Mann" "Physiker" 33 14
335 0 "Mann" "Physiker" 51 32
336 0 "Frau" "Physiker" 49 31
337 0 "Mann" "Physiker" 63 44
338 0 "Frau" "Physiker" 42 22
339 0 "Mann" "Physiker" 41 23
340 0 "Frau" "Physiker" 36 18
341 0 "Frau" "Physiker" 41 22
342 0 "Mann" "Physiker" 55 37
343 0 "Mann" "Physiker" 42 24
344 0 "Frau" "Physiker" 43 25
345 0 "Frau" "Physiker" 40 21
346 0 "Mann" "Physiker" 32 13
347 0 "Frau" "Physiker" 38 19
348 0 "Mann" "Physiker" 51 32
349 0 "Mann" "Physiker" 41 23
350 0 "Mann" "Physiker" 33 15
351 0 "Mann" "Physiker" 48 30
352 0 "Frau" "Physiker" 54 34
353 0 "Frau" "Physiker" 56 38
354 0 "Mann" "Physiker" 56 36
355 0 "Frau" "Physiker" 55 36
356 0 "Mann" "Physiker" 35 16
357 0 "Frau" "Physiker" 39 19
358 0 "Frau" "Physiker" 39 21
359 0 "Frau" "Physiker" 42 24
360 0 "Frau" "Physiker" 39 19
361 1 "Frau" "Physiker" 29 10
362 0 "Frau" "Physiker" 39 20
363 0 "Frau" "Physiker" 50 32
364 0 "Frau" "Physiker" 49 29
365 0 "Frau" "Physiker" 44 26
366 1 "Frau" "Physiker" 27 8
367 0 "Mann" "Physiker" 50 31
368 0 "Frau" "Physiker" 61 43
369 0 "Frau" "Physiker" 52 34
370 0 "Mann" "Physiker" 46 27
371 0 "Frau" "Physiker" 51 33
372 0 "Frau" "Physiker" 37 18
373 0 "Mann" "Physiker" 42 23
374 0 "Frau" "Physiker" 38 19
375 0 "Frau" "Physiker" 46 27
376 0 "Mann" "Physiker" 53 35
377 0 "Frau" "Physiker" 54 35
378 0 "Frau" "Physiker" 51 33
379 0 "Mann" "Physiker" 59 41
380 0 "Mann" "Physiker" 32 12
381 0 "Frau" "Physiker" 55 35
382 0 "Frau" "Physiker" 29 10
383 0 "Mann" "Physiker" 42 22
384 0 "Frau" "Physiker" 57 38
385 0 "Mann" "Physiker" 51 32
386 0 "Frau" "Physiker" 46 26
387 0 "Frau" "Physiker" 36 17
388 0 "Mann" "Physiker" 49 29
389 0 "Frau" "Physiker" 38 18
390 0 "Frau" "Physiker" 33 13
391 0 "Frau" "Physiker" 37 17
392 0 "Frau" "Physiker" 36 17
393 0 "Mann" "Physiker" 54 36
394 0 "Frau" "Physiker" 47 28
395 0 "Mann" "Physiker" 38 20
396 0 "Mann" "Physiker" 47 29
397 0 "Frau" "Physiker" 44 25
398 0 "Frau" "Physiker" 44 26
399 0 "Frau" "Physiker" 63 43
400 0 "Mann" "Physiker" 48 30
401 0 "Mann" "Physiker" 35 16
402 0 "Frau" "Physiker" 29 11
403 0 "Mann" "Physiker" 26 8
404 0 "Mann" "Physiker" 53 34
405 0 "Frau" "Physiker" 52 34
406 0 "Frau" "Physiker" 42 23
407 0 "Frau" "Physiker" 56 38
408 0 "Frau" "Physiker" 49 30
409 0 "Mann" "Physiker" 46 28
410 0 "Frau" "Physiker" 36 17
411 0 "Mann" "Physiker" 39 21
412 0 "Frau" "Physiker" 43 24
413 0 "Mann" "Physiker" 48 29
414 0 "Frau" "Physiker" 43 23
415 0 "Mann" "Physiker" 31 12
416 0 "Mann" "Physiker" 51 33
417 0 "Frau" "Physiker" 39 19
418 0 "Frau" "Physiker" 35 15
419 0 "Frau" "Physiker" 38 19
420 0 "Mann" "Physiker" 45 26
421 0 "Mann" "Physiker" 49 30
422 0 "Frau" "Physiker" 39 20
423 0 "Mann" "Physiker" 60 42
424 0 "Frau" "Physiker" 39 20
425 0 "Mann" "Physiker" 51 32
426 0 "Frau" "Physiker" 52 34
427 0 "Frau" "Physiker" 55 36
428 0 "Mann" "Physiker" 61 42
429 0 "Mann" "Physiker" 33 14
430 0 "Mann" "Physiker" 63 43
431 0 "Mann" "Physiker" 50 30
432 0 "Frau" "Physiker" 44 26
433 0 "Mann" "Physiker" 46 26
434 0 "Mann" "Physiker" 50 30
435 0 "Frau" "Physiker" 46 26
436 0 "Frau" "Physiker" 44 24
437 0 "Mann" "Physiker" 45 25
438 0 "Frau" "Physiker" 54 36
439 0 "Frau" "Physiker" 40 21
440 0 "Frau" "Physiker" 33 14
441 0 "Mann" "Physiker" 53 34
442 0 "Mann" "Physiker" 55 36
443 0 "Mann" "Physiker" 45 26
444 0 "Mann" "Physiker" 54 36
445 0 "Mann" "Physiker" 43 24
446 0 "Frau" "Physiker" 46 27
447 0 "Frau" "Physiker" 39 20
448 0 "Frau" "Physiker" 41 22
449 0 "Frau" "Physiker" 53 34
450 0 "Frau" "Physiker" 41 21
451 0 "Frau" "Physiker" 51 33
452 0 "Frau" "Physiker" 46 27
453 0 "Frau" "Physiker" 33 14
454 0 "Mann" "Physiker" 51 32
455 0 "Frau" "Physiker" 50 32
456 0 "Frau" "Physiker" 33 14
457 0 "Frau" "Physiker" 38 18
458 0 "Mann" "Physiker" 43 23
459 0 "Frau" "Physiker" 33 15
460 0 "Mann" "Physiker" 39 19
461 0 "Mann" "Physiker" 49 30
462 0 "Mann" "Physiker" 36 18
463 0 "Frau" "Physiker" 50 31
464 0 "Mann" "Physiker" 37 18
465 0 "Frau" "Physiker" 43 23
466 0 "Mann" "Physiker" 41 23
467 0 "Frau" "Physiker" 39 21
468 0 "Mann" "Physiker" 34 16
469 0 "Frau" "Physiker" 36 17
470 0 "Mann" "Physiker" 27 7
471 0 "Frau" "Physiker" 51 33
472 0 "Mann" "Physiker" 58 38
473 0 "Frau" "Physiker" 31 12
474 0 "Frau" "Physiker" 43 23
475 0 "Frau" "Physiker" 55 36
476 0 "Frau" "Physiker" 64 45
477 0 "Mann" "Physiker" 30 12
478 0 "Mann" "Physiker" 41 21
479 0 "Mann" "Physiker" 65 45
480 0 "Frau" "Physiker" 39 20
481 0 "Mann" "Physiker" 61 42
482 0 "Frau" "Physiker" 32 12
483 0 "Frau" "Physiker" 35 17
484 0 "Frau" "Physiker" 64 45
485 0 "Frau" "Physiker" 35 15
486 0 "Frau" "Physiker" 41 22
487 0 "Frau" "Physiker" 40 21
488 0 "Frau" "Physiker" 47 28
489 0 "Frau" "Physiker" 51 32
490 0 "Frau" "Physiker" 39 21
491 0 "Mann" "Physiker" 41 22
492 0 "Frau" "Physiker" 49 31
493 0 "Frau" "Physiker" 43 23
494 0 "Frau" "Physiker" 43 24
495 0 "Mann" "Physiker" 29 10
496 0 "Frau" "Physiker" 36 16
497 0 "Mann" "Physiker" 60 42
498 0 "Mann" "Physiker" 41 22
499 0 "Frau" "Physiker" 53 35
500 0 "Mann" "Physiker" 44 26
501 0 "Mann" "Physiker" 46 28
502 0 "Frau" "Physiker" 61 42
503 0 "Mann" "Physiker" 34 16
504 0 "Mann" "Physiker" 50 30
505 0 "Frau" "Physiker" 42 23
506 0 "Mann" "Physiker" 32 13
507 0 "Frau" "Physiker" 33 13
508 0 "Mann" "Physiker" 65 45
509 0 "Mann" "Physiker" 40 21
510 0 "Mann" "Physiker" 51 31
511 0 "Mann" "Physiker" 35 17
512 0 "Mann" "Physiker" 52 33
513 0 "Mann" "Physiker" 30 12
514 0 "Mann" "Physiker" 42 22
515 0 "Frau" "Physiker" 47 28
516 0 "Mann" "Physiker" 49 30
517 0 "Mann" "Physiker" 52 33
518 0 "Frau" "Physiker" 57 37
519 0 "Mann" "Physiker" 53 35
520 0 "Mann" "Physiker" 51 31
521 0 "Frau" "Physiker" 45 26
522 0 "Frau" "Physiker" 49 30
523 0 "Mann" "Physiker" 63 45
524 0 "Mann" "Physiker" 49 29
525 0 "Mann" "Physiker" 52 34
526 0 "Frau" "Physiker" 44 24
527 0 "Frau" "Physiker" 35 17
528 0 "Frau" "Physiker" 61 41
529 0 "Frau" "Physiker" 61 43
530 0 "Frau" "Physiker" 62 44
531 0 "Mann" "Physiker" 37 18
532 0 "Mann" "Physiker" 44 26
533 0 "Mann" "Physiker" 48 30
534 0 "Mann" "Physiker" 44 26
535 0 "Mann" "Physiker" 51 32
536 0 "Frau" "Physiker" 46 28
537 0 "Frau" "Physiker" 35 17
538 0 "Frau" "Physiker" 49 30
539 0 "Mann" "Physiker" 42 23
540 0 "Frau" "Physiker" 38 20
541 0 "Frau" "Physiker" 39 21
542 0 "Frau" "Physiker" 40 20
543 0 "Frau" "Physiker" 43 24
544 0 "Mann" "Physiker" 40 21
545 0 "Frau" "Physiker" 46 28
546 0 "Frau" "Physiker" 64 45
547 0 "Frau" "Physiker" 46 27
548 0 "Mann" "Physiker" 35 16
549 0 "Frau" "Physiker" 44 26
550 0 "Mann" "Physiker" 31 11
551 0 "Frau" "Physiker" 65 46
552 0 "Frau" "Physiker" 43 23
553 0 "Mann" "Physiker" 38 20
554 0 "Frau" "Physiker" 51 32
555 0 "Mann" "Physiker" 41 22
556 0 "Frau" "Physiker" 49 30
557 0 "Mann" "Physiker" 37 17
558 0 "Frau" "Physiker" 39 20
559 0 "Frau" "Physiker" 55 36
560 0 "Mann" "Physiker" 38 18
561 0 "Mann" "Physiker" 43 24
562 0 "Mann" "Physiker" 46 28
563 0 "Frau" "Physiker" 46 27
564 0 "Frau" "Physiker" 41 22
565 0 "Frau" "Physiker" 46 27
566 0 "Mann" "Physiker" 45 27
567 0 "Frau" "Physiker" 50 31
568 0 "Frau" "Physiker" 53 33
569 0 "Frau" "Physiker" 43 23
570 0 "Mann" "Physiker" 61 42
571 0 "Frau" "Physiker" 56 38
572 0 "Frau" "Physiker" 45 27
573 0 "Frau" "Physiker" 42 24
574 0 "Mann" "Physiker" 36 18
575 0 "Mann" "Physiker" 60 42
576 0 "Frau" "Physiker" 42 23
577 0 "Frau" "Physiker" 44 25
578 0 "Mann" "Physiker" 31 11
579 0 "Mann" "Physiker" 38 19
580 0 "Mann" "Physiker" 30 11
581 0 "Frau" "Physiker" 57 38
582 0 "Frau" "Physiker" 57 39
583 0 "Mann" "Physiker" 36 16
584 0 "Mann" "Physiker" 35 15
585 0 "Mann" "Physiker" 48 30
586 0 "Frau" "Physiker" 35 17
587 0 "Frau" "Physiker" 52 34
588 0 "Frau" "Physiker" 43 24
589 0 "Mann" "Physiker" 39 21
590 0 "Frau" "Physiker" 56 36
591 0 "Mann" "Physiker" 59 40
592 0 "Frau" "Physiker" 54 35
593 0 "Frau" "Physiker" 53 33
594 0 "Frau" "Physiker" 47 28
595 0 "Frau" "Physiker" 57 38
596 0 "Frau" "Physiker" 44 25
597 0 "Frau" "Physiker" 36 16
598 0 "Frau" "Physiker" 53 35
599 0 "Mann" "Physiker" 28 8
600 0 "Frau" "Physiker" 33 13
601 0 "Frau" "Physiker" 45 26
602 1 "Frau" "Physiker" 27 7
603 0 "Frau" "Physiker" 58 39
604 0 "Mann" "Physiker" 51 32
605 0 "Mann" "Physiker" 38 20
606 0 "Frau" "Physiker" 57 38
607 0 "Mann" "Physiker" 32 13
608 0 "Mann" "Physiker" 58 39
609 0 "Frau" "Physiker" 43 24
610 0 "Frau" "Physiker" 44 24
611 0 "Mann" "Physiker" 42 23
612 0 "Mann" "Physiker" 34 15
613 0 "Mann" "Physiker" 47 27
614 0 "Frau" "Physiker" 62 42
615 0 "Frau" "Physiker" 55 36
616 0 "Frau" "Physiker" 63 43
617 0 "Frau" "Physiker" 49 29
618 0 "Mann" "Physiker" 47 28
619 0 "Frau" "Physiker" 61 43
620 0 "Mann" "Physiker" 47 28
621 0 "Frau" "Physiker" 30 12
622 0 "Frau" "Physiker" 46 28
623 0 "Frau" "Physiker" 46 26
624 1 "Mann" "Physiker" 29 10
625 0 "Frau" "Physiker" 44 25
626 0 "Frau" "Physiker" 64 45
627 0 "Frau" "Physiker" 46 26
628 0 "Frau" "Physiker" 44 25
629 0 "Frau" "Physiker" 41 23
630 0 "Mann" "Physiker" 55 37
631 0 "Frau" "Physiker" 53 34
632 0 "Frau" "Physiker" 43 24
633 0 "Mann" "Physiker" 47 28
634 0 "Frau" "Physiker" 48 29
635 0 "Frau" "Physiker" 43 23
636 0 "Frau" "Physiker" 50 31
637 0 "Frau" "Physiker" 31 12
638 0 "Mann" "Physiker" 56 37
639 0 "Frau" "Physiker" 60 41
640 0 "Mann" "Physiker" 34 15
641 0 "Frau" "Physiker" 61 43
642 0 "Mann" "Physiker" 48 29
643 0 "Mann" "Physiker" 46 27
644 0 "Frau" "Physiker" 44 24
645 0 "Mann" "Physiker" 39 20
646 0 "Frau" "Physiker" 51 32
647 0 "Mann" "Physiker" 27 7
648 1 "Frau" "Physiker" 33 15
649 0 "Frau" "Physiker" 43 24
650 0 "Frau" "Physiker" 37 18
651 0 "Frau" "Physiker" 41 22
652 0 "Frau" "Physiker" 33 13
653 0 "Frau" "Physiker" 53 34
654 0 "Frau" "Physiker" 39 20
655 0 "Frau" "Physiker" 38 20
656 0 "Frau" "Physiker" 51 31
657 0 "Frau" "Physiker" 32 14
658 1 "Mann" "Physiker" 29 9
659 0 "Mann" "Physiker" 43 24
660 0 "Mann" "Physiker" 37 19
661 0 "Mann" "Physiker" 33 13
662 0 "Frau" "Physiker" 43 24
663 0 "Frau" "Physiker" 63 45
664 0 "Frau" "Physiker" 59 40
665 0 "Mann" "Physiker" 56 36
666 0 "Frau" "Physiker" 42 22
667 0 "Frau" "Physiker" 42 22
668 0 "Frau" "Physiker" 49 30
669 0 "Frau" "Physiker" 46 27
670 0 "Frau" "Physiker" 38 19
671 0 "Mann" "Physiker" 65 46
672 1 "Frau" "Physiker" 32 12
673 0 "Frau" "Physiker" 27 7
674 0 "Mann" "Physiker" 44 25
675 0 "Frau" "Physiker" 44 26
676 0 "Mann" "Physiker" 43 23
677 0 "Frau" "Physiker" 47 28
678 0 "Frau" "Physiker" 34 16
679 0 "Frau" "Physiker" 26 7
680 0 "Mann" "Physiker" 46 27
681 0 "Mann" "Physiker" 45 27
682 0 "Mann" "Physiker" 55 35
683 0 "Frau" "Physiker" 44 24
684 1 "Frau" "Physiker" 30 12
685 0 "Mann" "Physiker" 34 14
686 0 "Mann" "Physiker" 51 32
687 0 "Frau" "Physiker" 39 19
688 0 "Mann" "Physiker" 44 25
689 0 "Frau" "Physiker" 48 30
690 0 "Frau" "Physiker" 48 30
691 0 "Frau" "Physiker" 39 20
692 0 "Mann" "Physiker" 46 26
693 0 "Mann" "Physiker" 43 23
694 0 "Frau" "Physiker" 30 11
695 0 "Mann" "Physiker" 49 29
