"Lnr" "Unfall" "Geschlecht" "Beruf" "Alter" "Fahrpraxis" "Zeit"
77 0 "Mann" "Physiker" 58 39 10
78 0 "Frau" "Physiker" 37 19 65
79 1 "Frau" "Physiker" 27 8 41
80 0 "Mann" "Physiker" 33 15 20
81 0 "Frau" "Physiker" 49 31 10
82 0 "Frau" "Physiker" 43 25 3
83 0 "Mann" "Physiker" 48 28 37
84 0 "Mann" "Physiker" 49 30 25
85 0 "Frau" "Physiker" 47 28 11
86 0 "Mann" "Physiker" 63 44 23
87 0 "Frau" "Physiker" 41 22 24
88 0 "Frau" "Physiker" 45 25 7
89 0 "Mann" "Physiker" 49 30 28
90 0 "Frau" "Physiker" 43 25 13
91 1 "Frau" "Physiker" 25 5 1
92 0 "Mann" "Physiker" 45 25 38
93 0 "Mann" "Physiker" 51 31 31
94 0 "Frau" "Physiker" 35 15 16
95 0 "Frau" "Physiker" 41 22 6
96 0 "Mann" "Physiker" 47 28 14
97 0 "Mann" "Physiker" 41 21 8
98 0 "Mann" "Physiker" 39 19 27
99 0 "Frau" "Physiker" 38 19 2
100 0 "Frau" "Physiker" 55 37 10
101 0 "Frau" "Physiker" 56 38 0
102 0 "Frau" "Physiker" 33 13 14
103 0 "Mann" "Physiker" 44 25 20
104 0 "Frau" "Physiker" 47 29 1
105 0 "Frau" "Physiker" 49 31 18
106 0 "Frau" "Physiker" 55 36 25
107 0 "Mann" "Physiker" 54 36 2
108 0 "Frau" "Physiker" 57 38 56
109 0 "Frau" "Physiker" 52 34 2
110 0 "Frau" "Physiker" 30 11 2
111 0 "Mann" "Physiker" 64 45 18
112 0 "Frau" "Physiker" 56 37 2
113 0 "Mann" "Physiker" 33 14 3
114 0 "Mann" "Physiker" 36 17 46
115 0 "Frau" "Physiker" 34 14 25
116 0 "Mann" "Physiker" 34 15 11
117 0 "Frau" "Physiker" 57 38 23
118 0 "Mann" "Physiker" 42 23 27
119 0 "Frau" "Physiker" 40 22 17
120 0 "Mann" "Physiker" 48 28 6
121 0 "Frau" "Physiker" 39 20 18
122 0 "Frau" "Physiker" 48 29 64
123 0 "Mann" "Physiker" 61 43 42
124 0 "Frau" "Physiker" 54 36 36
125 0 "Frau" "Physiker" 42 23 8
126 0 "Mann" "Physiker" 54 36 73
127 0 "Mann" "Physiker" 58 38 18
128 0 "Frau" "Physiker" 51 33 4
129 0 "Mann" "Physiker" 45 26 43
130 0 "Mann" "Physiker" 49 31 27
131 0 "Frau" "Physiker" 49 30 67
132 0 "Frau" "Physiker" 46 27 10
133 0 "Frau" "Physiker" 52 33 36
134 0 "Frau" "Physiker" 42 23 33
135 0 "Mann" "Physiker" 50 30 47
136 0 "Frau" "Physiker" 43 25 23
137 0 "Frau" "Physiker" 40 22 21
138 0 "Frau" "Physiker" 30 12 10
139 0 "Frau" "Physiker" 52 33 36
140 0 "Frau" "Physiker" 52 33 27
141 0 "Frau" "Physiker" 60 41 9
142 0 "Frau" "Physiker" 34 15 27
143 0 "Mann" "Physiker" 48 29 11
144 0 "Frau" "Physiker" 36 16 3
145 0 "Frau" "Physiker" 46 26 25
146 0 "Frau" "Physiker" 59 40 34
147 0 "Mann" "Physiker" 55 36 23
148 0 "Frau" "Physiker" 44 25 5
149 0 "Frau" "Physiker" 51 32 56
150 0 "Frau" "Physiker" 44 25 11
151 0 "Frau" "Physiker" 37 17 2
152 0 "Frau" "Physiker" 46 27 19
153 0 "Frau" "Physiker" 50 31 18
154 1 "Frau" "Physiker" 35 15 47
155 0 "Mann" "Physiker" 51 33 4
156 0 "Frau" "Physiker" 51 32 25
157 0 "Mann" "Physiker" 56 37 13
158 0 "Mann" "Physiker" 42 23 90
159 0 "Frau" "Physiker" 52 33 14
160 0 "Frau" "Physiker" 46 26 1
161 0 "Frau" "Physiker" 48 30 10
162 0 "Mann" "Physiker" 54 36 7
163 0 "Mann" "Physiker" 54 35 48
164 0 "Mann" "Physiker" 57 38 26
165 0 "Frau" "Physiker" 55 36 25
166 0 "Frau" "Physiker" 43 24 16
167 0 "Mann" "Physiker" 39 20 4
168 0 "Mann" "Physiker" 60 42 0
169 0 "Frau" "Physiker" 44 24 6
170 0 "Frau" "Physiker" 53 34 0
171 0 "Frau" "Physiker" 38 20 5
172 0 "Frau" "Physiker" 37 18 0
173 0 "Mann" "Physiker" 46 26 8
174 0 "Frau" "Physiker" 43 24 51
175 0 "Frau" "Physiker" 51 32 7
176 0 "Frau" "Physiker" 46 26 10
177 0 "Frau" "Physiker" 41 23 3
178 0 "Mann" "Physiker" 56 36 28
179 0 "Mann" "Physiker" 62 44 39
180 0 "Mann" "Physiker" 54 35 23
181 0 "Frau" "Physiker" 47 27 9
182 0 "Mann" "Physiker" 45 25 0
183 0 "Mann" "Physiker" 50 32 5
184 0 "Mann" "Physiker" 40 21 6
185 0 "Frau" "Physiker" 60 41 1
186 0 "Frau" "Physiker" 40 20 11
187 0 "Mann" "Physiker" 37 17 33
188 0 "Frau" "Physiker" 46 27 17
189 0 "Mann" "Physiker" 57 38 49
190 0 "Frau" "Physiker" 37 18 31
191 0 "Mann" "Physiker" 39 20 70
192 0 "Mann" "Physiker" 43 25 36
193 0 "Mann" "Physiker" 49 30 2
194 0 "Mann" "Physiker" 54 34 12
195 0 "Frau" "Physiker" 56 36 9
196 0 "Mann" "Physiker" 28 9 68
197 0 "Frau" "Physiker" 49 31 10
198 0 "Mann" "Physiker" 43 24 17
199 0 "Frau" "Physiker" 39 20 58
200 0 "Mann" "Physiker" 50 31 18
201 0 "Frau" "Physiker" 27 7 77
202 0 "Mann" "Physiker" 45 26 39
203 0 "Frau" "Physiker" 60 41 4
204 0 "Frau" "Physiker" 40 22 15
205 0 "Mann" "Physiker" 35 15 28
206 0 "Frau" "Physiker" 62 42 92
207 0 "Frau" "Physiker" 31 12 47
208 0 "Mann" "Physiker" 44 24 69
209 0 "Mann" "Physiker" 41 22 6
210 0 "Frau" "Physiker" 40 20 10
211 0 "Frau" "Physiker" 51 33 6
212 0 "Mann" "Physiker" 27 8 23
213 0 "Frau" "Physiker" 26 7 14
214 0 "Frau" "Physiker" 32 13 2
215 0 "Frau" "Physiker" 49 31 48
216 0 "Mann" "Physiker" 41 22 18
217 0 "Frau" "Physiker" 44 26 6
218 0 "Mann" "Physiker" 35 15 3
219 0 "Mann" "Physiker" 48 29 14
220 1 "Mann" "Physiker" 25 5 22
221 0 "Mann" "Physiker" 35 17 1
222 0 "Frau" "Physiker" 59 41 12
223 0 "Mann" "Physiker" 52 32 19
224 0 "Mann" "Physiker" 43 24 7
225 0 "Mann" "Physiker" 55 35 67
226 0 "Mann" "Physiker" 54 36 7
227 0 "Mann" "Physiker" 38 18 4
228 0 "Frau" "Physiker" 38 19 53
229 0 "Frau" "Physiker" 61 43 3
230 0 "Frau" "Physiker" 40 22 38
231 0 "Mann" "Physiker" 51 32 5
232 0 "Mann" "Physiker" 41 23 4
233 0 "Mann" "Physiker" 59 40 14
234 0 "Mann" "Physiker" 42 22 33
235 0 "Frau" "Physiker" 35 15 8
236 0 "Mann" "Physiker" 32 14 20
237 0 "Frau" "Physiker" 48 29 12
238 0 "Frau" "Physiker" 50 32 62
239 0 "Frau" "Physiker" 48 29 4
240 0 "Frau" "Physiker" 45 26 53
241 0 "Frau" "Physiker" 45 25 42
242 0 "Mann" "Physiker" 44 25 1
243 0 "Mann" "Physiker" 45 25 17
244 0 "Mann" "Physiker" 34 15 21
245 0 "Mann" "Physiker" 55 36 60
246 0 "Mann" "Physiker" 46 28 19
247 0 "Mann" "Physiker" 51 32 21
248 0 "Mann" "Physiker" 36 18 55
249 0 "Frau" "Physiker" 31 13 14
250 0 "Frau" "Physiker" 47 27 1
251 0 "Mann" "Physiker" 50 31 12
252 0 "Mann" "Physiker" 47 28 32
253 0 "Frau" "Physiker" 49 30 35
254 0 "Mann" "Physiker" 41 21 5
255 0 "Mann" "Physiker" 44 26 6
256 0 "Frau" "Physiker" 41 22 48
257 0 "Frau" "Physiker" 63 43 16
258 0 "Mann" "Physiker" 26 6 20
259 0 "Mann" "Physiker" 46 26 37
260 0 "Frau" "Physiker" 50 31 28
261 0 "Mann" "Physiker" 40 22 28
262 0 "Mann" "Physiker" 54 35 25
263 0 "Mann" "Physiker" 52 32 19
264 0 "Mann" "Physiker" 39 20 7
265 0 "Frau" "Physiker" 50 32 3
266 0 "Frau" "Physiker" 35 17 10
267 0 "Frau" "Physiker" 57 37 16
268 0 "Mann" "Physiker" 32 13 1
269 0 "Mann" "Physiker" 39 20 67
270 0 "Frau" "Physiker" 39 20 33
271 0 "Frau" "Physiker" 57 39 16
272 0 "Frau" "Physiker" 40 21 3
273 0 "Frau" "Physiker" 46 27 79
274 0 "Mann" "Physiker" 39 20 18
275 0 "Frau" "Physiker" 55 36 4
276 0 "Frau" "Physiker" 38 18 21
277 0 "Mann" "Physiker" 56 37 29
278 0 "Mann" "Physiker" 52 33 29
279 0 "Mann" "Physiker" 40 22 20
280 1 "Mann" "Physiker" 33 14 15
281 0 "Mann" "Physiker" 29 10 85
282 0 "Mann" "Physiker" 64 44 97
283 0 "Frau" "Physiker" 39 19 9
284 0 "Frau" "Physiker" 49 30 14
285 0 "Frau" "Physiker" 38 19 30
286 0 "Mann" "Physiker" 35 17 29
287 0 "Frau" "Physiker" 33 15 10
288 0 "Mann" "Physiker" 36 17 7
289 0 "Frau" "Physiker" 34 14 24
290 0 "Mann" "Physiker" 55 36 25
291 0 "Mann" "Physiker" 37 17 36
292 0 "Frau" "Physiker" 56 37 4
293 0 "Frau" "Physiker" 42 22 1
294 0 "Frau" "Physiker" 40 22 79
295 0 "Frau" "Physiker" 64 44 75
296 0 "Mann" "Physiker" 53 34 56
297 0 "Mann" "Physiker" 58 39 4
298 0 "Frau" "Physiker" 45 26 16
299 0 "Frau" "Physiker" 38 19 3
300 0 "Mann" "Physiker" 54 34 14
301 0 "Mann" "Physiker" 52 34 85
302 0 "Frau" "Physiker" 54 36 58
303 0 "Mann" "Physiker" 52 33 10
304 0 "Frau" "Physiker" 41 22 4
305 0 "Mann" "Physiker" 40 20 71
306 0 "Mann" "Physiker" 44 26 7
307 0 "Mann" "Physiker" 35 16 23
308 0 "Frau" "Physiker" 44 26 6
309 0 "Frau" "Physiker" 51 32 17
310 0 "Frau" "Physiker" 48 30 48
311 0 "Mann" "Physiker" 58 39 3
312 0 "Mann" "Physiker" 38 19 25
313 0 "Mann" "Physiker" 48 29 20
314 1 "Frau" "Physiker" 36 16 14
315 0 "Mann" "Physiker" 57 38 4
316 0 "Frau" "Physiker" 49 29 65
317 0 "Mann" "Physiker" 48 30 23
318 0 "Frau" "Physiker" 54 35 10
319 0 "Mann" "Physiker" 37 18 12
320 0 "Frau" "Physiker" 44 25 11
321 0 "Frau" "Physiker" 49 29 15
322 0 "Mann" "Physiker" 30 11 22
323 0 "Frau" "Physiker" 57 38 10
324 0 "Frau" "Physiker" 25 7 3
325 0 "Frau" "Physiker" 48 30 23
326 0 "Frau" "Physiker" 45 26 6
327 0 "Frau" "Physiker" 52 33 18
328 0 "Frau" "Physiker" 50 32 19
329 0 "Frau" "Physiker" 38 20 23
330 0 "Frau" "Physiker" 42 23 8
331 0 "Mann" "Physiker" 49 30 23
332 0 "Frau" "Physiker" 34 14 13
333 0 "Mann" "Physiker" 57 37 32
334 0 "Mann" "Physiker" 33 14 8
335 0 "Mann" "Physiker" 51 32 47
336 0 "Frau" "Physiker" 49 31 74
337 0 "Mann" "Physiker" 63 44 4
338 0 "Frau" "Physiker" 42 22 3
339 0 "Mann" "Physiker" 41 23 29
340 0 "Frau" "Physiker" 36 18 51
341 0 "Frau" "Physiker" 41 22 16
342 0 "Mann" "Physiker" 55 37 10
343 0 "Mann" "Physiker" 42 24 4
344 0 "Frau" "Physiker" 43 25 8
345 0 "Frau" "Physiker" 40 21 44
346 0 "Mann" "Physiker" 32 13 15
347 0 "Frau" "Physiker" 38 19 29
348 0 "Mann" "Physiker" 51 32 22
349 0 "Mann" "Physiker" 41 23 18
350 0 "Mann" "Physiker" 33 15 8
351 0 "Mann" "Physiker" 48 30 2
352 0 "Frau" "Physiker" 54 34 44
353 0 "Frau" "Physiker" 56 38 31
354 0 "Mann" "Physiker" 56 36 3
355 0 "Frau" "Physiker" 55 36 9
356 0 "Mann" "Physiker" 35 16 31
357 0 "Frau" "Physiker" 39 19 22
358 0 "Frau" "Physiker" 39 21 8
359 0 "Frau" "Physiker" 42 24 4
360 0 "Frau" "Physiker" 39 19 5
361 1 "Frau" "Physiker" 29 10 25
362 0 "Frau" "Physiker" 39 20 50
363 0 "Frau" "Physiker" 50 32 24
364 0 "Frau" "Physiker" 49 29 62
365 0 "Frau" "Physiker" 44 26 7
366 1 "Frau" "Physiker" 27 8 2
367 0 "Mann" "Physiker" 50 31 40
368 0 "Frau" "Physiker" 61 43 34
369 0 "Frau" "Physiker" 52 34 25
370 0 "Mann" "Physiker" 46 27 28
371 0 "Frau" "Physiker" 51 33 52
372 0 "Frau" "Physiker" 37 18 12
373 0 "Mann" "Physiker" 42 23 34
374 0 "Frau" "Physiker" 38 19 24
375 0 "Frau" "Physiker" 46 27 13
376 0 "Mann" "Physiker" 53 35 14
377 0 "Frau" "Physiker" 54 35 2
378 0 "Frau" "Physiker" 51 33 18
379 0 "Mann" "Physiker" 59 41 52
380 0 "Mann" "Physiker" 32 12 28
381 0 "Frau" "Physiker" 55 35 92
382 0 "Frau" "Physiker" 29 10 35
383 0 "Mann" "Physiker" 42 22 32
384 0 "Frau" "Physiker" 57 38 7
385 0 "Mann" "Physiker" 51 32 6
386 0 "Frau" "Physiker" 46 26 15
387 0 "Frau" "Physiker" 36 17 3
388 0 "Mann" "Physiker" 49 29 4
389 0 "Frau" "Physiker" 38 18 4
390 0 "Frau" "Physiker" 33 13 23
391 0 "Frau" "Physiker" 37 17 45
392 0 "Frau" "Physiker" 36 17 26
393 0 "Mann" "Physiker" 54 36 15
394 0 "Frau" "Physiker" 47 28 27
395 0 "Mann" "Physiker" 38 20 98
396 0 "Mann" "Physiker" 47 29 82
397 0 "Frau" "Physiker" 44 25 24
398 0 "Frau" "Physiker" 44 26 21
399 0 "Frau" "Physiker" 63 43 29
400 0 "Mann" "Physiker" 48 30 47
401 0 "Mann" "Physiker" 35 16 19
402 0 "Frau" "Physiker" 29 11 4
403 0 "Mann" "Physiker" 26 8 4
404 0 "Mann" "Physiker" 53 34 47
405 0 "Frau" "Physiker" 52 34 14
406 0 "Frau" "Physiker" 42 23 16
407 0 "Frau" "Physiker" 56 38 30
408 0 "Frau" "Physiker" 49 30 96
409 0 "Mann" "Physiker" 46 28 50
410 0 "Frau" "Physiker" 36 17 19
411 0 "Mann" "Physiker" 39 21 20
412 0 "Frau" "Physiker" 43 24 50
413 0 "Mann" "Physiker" 48 29 4
414 0 "Frau" "Physiker" 43 23 39
415 0 "Mann" "Physiker" 31 12 24
416 0 "Mann" "Physiker" 51 33 18
417 0 "Frau" "Physiker" 39 19 0
418 0 "Frau" "Physiker" 35 15 6
419 0 "Frau" "Physiker" 38 19 4
420 0 "Mann" "Physiker" 45 26 6
421 0 "Mann" "Physiker" 49 30 9
422 0 "Frau" "Physiker" 39 20 35
423 0 "Mann" "Physiker" 60 42 6
424 0 "Frau" "Physiker" 39 20 5
425 0 "Mann" "Physiker" 51 32 3
426 0 "Frau" "Physiker" 52 34 58
427 0 "Frau" "Physiker" 55 36 28
428 0 "Mann" "Physiker" 61 42 29
429 0 "Mann" "Physiker" 33 14 9
430 0 "Mann" "Physiker" 63 43 23
431 0 "Mann" "Physiker" 50 30 8
432 0 "Frau" "Physiker" 44 26 9
433 0 "Mann" "Physiker" 46 26 21
434 0 "Mann" "Physiker" 50 30 22
435 0 "Frau" "Physiker" 46 26 11
436 0 "Frau" "Physiker" 44 24 3
437 0 "Mann" "Physiker" 45 25 2
438 0 "Frau" "Physiker" 54 36 3
439 0 "Frau" "Physiker" 40 21 27
440 0 "Frau" "Physiker" 33 14 97
441 0 "Mann" "Physiker" 53 34 1
442 0 "Mann" "Physiker" 55 36 7
443 0 "Mann" "Physiker" 45 26 1
444 0 "Mann" "Physiker" 54 36 81
445 0 "Mann" "Physiker" 43 24 18
446 0 "Frau" "Physiker" 46 27 75
447 0 "Frau" "Physiker" 39 20 21
448 0 "Frau" "Physiker" 41 22 23
449 0 "Frau" "Physiker" 53 34 29
450 0 "Frau" "Physiker" 41 21 72
451 0 "Frau" "Physiker" 51 33 128
452 0 "Frau" "Physiker" 46 27 2
453 0 "Frau" "Physiker" 33 14 24
454 0 "Mann" "Physiker" 51 32 13
455 0 "Frau" "Physiker" 50 32 4
456 0 "Frau" "Physiker" 33 14 66
457 0 "Frau" "Physiker" 38 18 0
458 0 "Mann" "Physiker" 43 23 19
459 0 "Frau" "Physiker" 33 15 6
460 0 "Mann" "Physiker" 39 19 15
461 0 "Mann" "Physiker" 49 30 20
462 0 "Mann" "Physiker" 36 18 0
463 0 "Frau" "Physiker" 50 31 16
464 0 "Mann" "Physiker" 37 18 7
465 0 "Frau" "Physiker" 43 23 34
466 0 "Mann" "Physiker" 41 23 11
467 0 "Frau" "Physiker" 39 21 45
468 0 "Mann" "Physiker" 34 16 50
469 0 "Frau" "Physiker" 36 17 5
470 0 "Mann" "Physiker" 27 7 19
471 0 "Frau" "Physiker" 51 33 20
472 0 "Mann" "Physiker" 58 38 26
473 0 "Frau" "Physiker" 31 12 9
474 0 "Frau" "Physiker" 43 23 15
475 0 "Frau" "Physiker" 55 36 11
476 0 "Frau" "Physiker" 64 45 116
477 0 "Mann" "Physiker" 30 12 1
478 0 "Mann" "Physiker" 41 21 23
479 0 "Mann" "Physiker" 65 45 7
480 0 "Frau" "Physiker" 39 20 45
481 0 "Mann" "Physiker" 61 42 17
482 0 "Frau" "Physiker" 32 12 9
483 0 "Frau" "Physiker" 35 17 34
484 0 "Frau" "Physiker" 64 45 53
485 0 "Frau" "Physiker" 35 15 72
486 0 "Frau" "Physiker" 41 22 52
487 0 "Frau" "Physiker" 40 21 0
488 0 "Frau" "Physiker" 47 28 14
489 0 "Frau" "Physiker" 51 32 68
490 0 "Frau" "Physiker" 39 21 51
491 0 "Mann" "Physiker" 41 22 34
492 0 "Frau" "Physiker" 49 31 97
493 0 "Frau" "Physiker" 43 23 24
494 0 "Frau" "Physiker" 43 24 19
495 0 "Mann" "Physiker" 29 10 25
496 0 "Frau" "Physiker" 36 16 45
497 0 "Mann" "Physiker" 60 42 24
498 0 "Mann" "Physiker" 41 22 4
499 0 "Frau" "Physiker" 53 35 6
500 0 "Mann" "Physiker" 44 26 7
501 0 "Mann" "Physiker" 46 28 4
502 0 "Frau" "Physiker" 61 42 18
503 0 "Mann" "Physiker" 34 16 61
504 0 "Mann" "Physiker" 50 30 11
505 0 "Frau" "Physiker" 42 23 1
506 0 "Mann" "Physiker" 32 13 17
507 0 "Frau" "Physiker" 33 13 62
508 0 "Mann" "Physiker" 65 45 13
509 0 "Mann" "Physiker" 40 21 6
510 0 "Mann" "Physiker" 51 31 6
511 0 "Mann" "Physiker" 35 17 0
512 0 "Mann" "Physiker" 52 33 4
513 0 "Mann" "Physiker" 30 12 31
514 0 "Mann" "Physiker" 42 22 87
515 0 "Frau" "Physiker" 47 28 38
516 0 "Mann" "Physiker" 49 30 13
517 0 "Mann" "Physiker" 52 33 46
518 0 "Frau" "Physiker" 57 37 55
519 0 "Mann" "Physiker" 53 35 27
520 0 "Mann" "Physiker" 51 31 11
521 0 "Frau" "Physiker" 45 26 33
522 0 "Frau" "Physiker" 49 30 12
523 0 "Mann" "Physiker" 63 45 9
524 0 "Mann" "Physiker" 49 29 11
525 0 "Mann" "Physiker" 52 34 10
526 0 "Frau" "Physiker" 44 24 2
527 0 "Frau" "Physiker" 35 17 32
528 0 "Frau" "Physiker" 61 41 7
529 0 "Frau" "Physiker" 61 43 23
530 0 "Frau" "Physiker" 62 44 19
531 0 "Mann" "Physiker" 37 18 67
532 0 "Mann" "Physiker" 44 26 13
533 0 "Mann" "Physiker" 48 30 30
534 0 "Mann" "Physiker" 44 26 2
535 0 "Mann" "Physiker" 51 32 32
536 0 "Frau" "Physiker" 46 28 10
537 0 "Frau" "Physiker" 35 17 22
538 0 "Frau" "Physiker" 49 30 41
539 0 "Mann" "Physiker" 42 23 4
540 0 "Frau" "Physiker" 38 20 12
541 0 "Frau" "Physiker" 39 21 8
542 0 "Frau" "Physiker" 40 20 3
543 0 "Frau" "Physiker" 43 24 12
544 0 "Mann" "Physiker" 40 21 23
545 0 "Frau" "Physiker" 46 28 20
546 0 "Frau" "Physiker" 64 45 3
547 0 "Frau" "Physiker" 46 27 41
548 0 "Mann" "Physiker" 35 16 50
549 0 "Frau" "Physiker" 44 26 35
550 0 "Mann" "Physiker" 31 11 5
551 0 "Frau" "Physiker" 65 46 31
552 0 "Frau" "Physiker" 43 23 10
553 0 "Mann" "Physiker" 38 20 18
554 0 "Frau" "Physiker" 51 32 20
555 0 "Mann" "Physiker" 41 22 57
556 0 "Frau" "Physiker" 49 30 13
557 0 "Mann" "Physiker" 37 17 2
558 0 "Frau" "Physiker" 39 20 7
559 0 "Frau" "Physiker" 55 36 25
560 0 "Mann" "Physiker" 38 18 16
561 0 "Mann" "Physiker" 43 24 32
562 0 "Mann" "Physiker" 46 28 2
563 0 "Frau" "Physiker" 46 27 1
564 0 "Frau" "Physiker" 41 22 36
565 0 "Frau" "Physiker" 46 27 35
566 0 "Mann" "Physiker" 45 27 13
567 0 "Frau" "Physiker" 50 31 44
568 0 "Frau" "Physiker" 53 33 37
569 0 "Frau" "Physiker" 43 23 29
570 0 "Mann" "Physiker" 61 42 12
571 0 "Frau" "Physiker" 56 38 24
572 0 "Frau" "Physiker" 45 27 13
573 0 "Frau" "Physiker" 42 24 30
574 0 "Mann" "Physiker" 36 18 20
575 0 "Mann" "Physiker" 60 42 1
576 0 "Frau" "Physiker" 42 23 5
577 0 "Frau" "Physiker" 44 25 13
578 0 "Mann" "Physiker" 31 11 62
579 0 "Mann" "Physiker" 38 19 7
580 0 "Mann" "Physiker" 30 11 8
581 0 "Frau" "Physiker" 57 38 27
582 0 "Frau" "Physiker" 57 39 80
583 0 "Mann" "Physiker" 36 16 40
584 0 "Mann" "Physiker" 35 15 70
585 0 "Mann" "Physiker" 48 30 9
586 0 "Frau" "Physiker" 35 17 18
587 0 "Frau" "Physiker" 52 34 9
588 0 "Frau" "Physiker" 43 24 105
589 0 "Mann" "Physiker" 39 21 23
590 0 "Frau" "Physiker" 56 36 56
591 0 "Mann" "Physiker" 59 40 31
592 0 "Frau" "Physiker" 54 35 47
593 0 "Frau" "Physiker" 53 33 43
594 0 "Frau" "Physiker" 47 28 144
595 0 "Frau" "Physiker" 57 38 58
596 0 "Frau" "Physiker" 44 25 11
597 0 "Frau" "Physiker" 36 16 5
598 0 "Frau" "Physiker" 53 35 15
599 0 "Mann" "Physiker" 28 8 29
600 0 "Frau" "Physiker" 33 13 28
601 0 "Frau" "Physiker" 45 26 45
602 1 "Frau" "Physiker" 27 7 15
603 0 "Frau" "Physiker" 58 39 37
604 0 "Mann" "Physiker" 51 32 12
605 0 "Mann" "Physiker" 38 20 2
606 0 "Frau" "Physiker" 57 38 16
607 0 "Mann" "Physiker" 32 13 3
608 0 "Mann" "Physiker" 58 39 21
609 0 "Frau" "Physiker" 43 24 56
610 0 "Frau" "Physiker" 44 24 19
611 0 "Mann" "Physiker" 42 23 8
612 0 "Mann" "Physiker" 34 15 31
613 0 "Mann" "Physiker" 47 27 20
614 0 "Frau" "Physiker" 62 42 11
615 0 "Frau" "Physiker" 55 36 12
616 0 "Frau" "Physiker" 63 43 17
617 0 "Frau" "Physiker" 49 29 84
618 0 "Mann" "Physiker" 47 28 5
619 0 "Frau" "Physiker" 61 43 17
620 0 "Mann" "Physiker" 47 28 2
621 0 "Frau" "Physiker" 30 12 4
622 0 "Frau" "Physiker" 46 28 1
623 0 "Frau" "Physiker" 46 26 0
624 1 "Mann" "Physiker" 29 10 1
625 0 "Frau" "Physiker" 44 25 6
626 0 "Frau" "Physiker" 64 45 55
627 0 "Frau" "Physiker" 46 26 1
628 0 "Frau" "Physiker" 44 25 28
629 0 "Frau" "Physiker" 41 23 16
630 0 "Mann" "Physiker" 55 37 40
631 0 "Frau" "Physiker" 53 34 7
632 0 "Frau" "Physiker" 43 24 22
